"Labour Force Status by Sex by Regional Council (Qrtly-Mar/Jun/Sep/Dec)","",""
"","","Total Both Sexes"
" "," ","Unemployment Rate"
" ","2003Q3",4.3
" ","2003Q4",4.7
" ","2004Q1",4.9
" ","2004Q2",4.1
" ","2004Q3",3.8
" ","2004Q4",3.8
" ","2005Q1",4.4
" ","2005Q2",4.0
" ","2005Q3",4.0
" ","2005Q4",3.9
" ","2006Q1",4.6
" ","2006Q2",3.9
" ","2006Q3",4.0
" ","2006Q4",3.8
" ","2007Q1",4.6
" ","2007Q2",3.6
" ","2007Q3",3.7
" ","2007Q4",3.5
" ","2008Q1",4.7
" ","2008Q2",3.9
" ","2008Q3",4.3
" ","2008Q4",4.7
" ","2009Q1",5.9
" ","2009Q2",6.0
" ","2009Q3",6.4
" ","2009Q4",7.0
" ","2010Q1",6.8
" ","2010Q2",7.1
" ","2010Q3",6.5
" ","2010Q4",6.5
" ","2011Q1",7.0
" ","2011Q2",6.3
" ","2011Q3",6.3
" ","2011Q4",6.4
" ","2012Q1",7.3
" ","2012Q2",6.6
" ","2012Q3",7.3
" ","2012Q4",6.9
" ","2013Q1",6.8
" ","2013Q2",6.4
" ","2013Q3",6.3
" ","2013Q4",6.2
" ","2014Q1",6.6
" ","2014Q2",5.9
" ","2014Q3",5.9
" ","2014Q4",6.0
" ","2015Q1",6.6
" ","2015Q2",6.0
" ","2015Q3",6.0
" ","2015Q4",5.3
" ","2016Q1",6.2
" ","2016Q2",5.2
" ","2016Q3",5.2
" ","2016Q4",5.6
" ","2017Q1",5.6
" ","2017Q2",4.9
" ","2017Q3",4.9
" ","2017Q4",4.6
" ","2018Q1",4.9
" ","2018Q2",4.6
" ","2018Q3",3.9
" ","2018Q4",4.5
" ","2019Q1",4.7
" ","2019Q2",4.1
" ","2019Q3",4.2
" ","2019Q4",4.2
" ","2020Q1",4.8
" ","2020Q2",4.0
" ","2020Q3",5.3
" ","2020Q4",5.2
" ","2021Q1",5.1
" ","2021Q2",3.9
" ","2021Q3",3.2
" ","2021Q4",3.2
" ","2022Q1",3.5
" ","2022Q2",3.3
" ","2022Q3",3.3
"South Island","1986Q1",4.6
" ","1986Q2",4.6
" ","1986Q3",4.1
" ","1986Q4",4.6
" ","1987Q1",4.6
" ","1987Q2",4.8
" ","1987Q3",5.2
" ","1987Q4",5.5
" ","1988Q1",5.6
" ","1988Q2",6.1
" ","1988Q3",6.7
" ","1988Q4",6.4
" ","1989Q1",7.1
" ","1989Q2",8.3
" ","1989Q3",7.7
" ","1989Q4",7.5
" ","1990Q1",8.0
" ","1990Q2",7.0
" ","1990Q3",8.0
" ","1990Q4",8.5
" ","1991Q1",8.3
" ","1991Q2",8.5
" ","1991Q3",9.3
" ","1991Q4",9.7
" ","1992Q1",8.6
" ","1992Q2",8.5
" ","1992Q3",8.5
" ","1992Q4",8.3
" ","1993Q1",8.7
" ","1993Q2",7.6
" ","1993Q3",7.3
" ","1993Q4",7.9
" ","1994Q1",7.6
" ","1994Q2",6.9
" ","1994Q3",6.1
" ","1994Q4",6.3
" ","1995Q1",5.9
" ","1995Q2",5.3
" ","1995Q3",4.8
" ","1995Q4",5.8
" ","1996Q1",5.9
" ","1996Q2",5.8
" ","1996Q3",5.4
" ","1996Q4",5.9
" ","1997Q1",6.1
" ","1997Q2",5.7
" ","1997Q3",6.1
" ","1997Q4",6.0
" ","1998Q1",7.2
" ","1998Q2",7.3
" ","1998Q3",7.1
" ","1998Q4",7.5
" ","1999Q1",7.3
" ","1999Q2",6.8
" ","1999Q3",6.8
" ","1999Q4",6.5
" ","2000Q1",5.9
" ","2000Q2",6.0
" ","2000Q3",5.2
" ","2000Q4",5.4
" ","2001Q1",5.1
" ","2001Q2",5.1
" ","2001Q3",5.2
" ","2001Q4",4.6
" ","2002Q1",5.2
" ","2002Q2",4.6
" ","2002Q3",5.1
" ","2002Q4",4.4
" ","2003Q1",4.4
" ","2003Q2",4.3
" ","2003Q3",4.5
" ","2003Q4",4.1
" ","2004Q1",4.0
" ","2004Q2",3.8
" ","2004Q3",3.5
" ","2004Q4",3.1
" ","2005Q1",3.8
" ","2005Q2",2.9
" ","2005Q3",2.8
" ","2005Q4",2.7
" ","2006Q1",4.1
" ","2006Q2",2.7
" ","2006Q3",3.0
" ","2006Q4",3.0
" ","2007Q1",3.1
" ","2007Q2",3.1
" ","2007Q3",2.7
" ","2007Q4",2.5
" ","2008Q1",2.7
" ","2008Q2",3.2
" ","2008Q3",2.9
" ","2008Q4",3.1
" ","2009Q1",4.0
" ","2009Q2",4.4
" ","2009Q3",4.9
" ","2009Q4",4.6
" ","2010Q1",5.1
" ","2010Q2",4.3
" ","2010Q3",4.3
" ","2010Q4",5.0
" ","2011Q1",4.6
" ","2011Q2",4.8
" ","2011Q3",4.5
" ","2011Q4",4.5
" ","2012Q1",4.8
" ","2012Q2",5.2
" ","2012Q3",4.7
" ","2012Q4",4.5
" ","2013Q1",4.1
" ","2013Q2",4.4
" ","2013Q3",4.2
" ","2013Q4",3.7
" ","2014Q1",3.8
" ","2014Q2",3.0
" ","2014Q3",3.2
" ","2014Q4",3.9
" ","2015Q1",3.2
" ","2015Q2",3.6
" ","2015Q3",4.0
" ","2015Q4",3.7
" ","2016Q1",3.6
" ","2016Q2",4.1
" ","2016Q3",3.8
" ","2016Q4",3.9
" ","2017Q1",3.9
" ","2017Q2",4.0
" ","2017Q3",3.6
" ","2017Q4",4.0
" ","2018Q1",3.7
" ","2018Q2",3.9
" ","2018Q3",3.7
" ","2018Q4",3.9
" ","2019Q1",3.7
" ","2019Q2",3.3
" ","2019Q3",3.6
" ","2019Q4",3.7
" ","2020Q1",3.6
" ","2020Q2",3.7
" ","2020Q3",4.4
" ","2020Q4",3.9
" ","2021Q1",4.2
" ","2021Q2",3.6
" ","2021Q3",3.3
" ","2021Q4",3.1
" ","2022Q1",3.2
" ","2022Q2",3.0
" ","2022Q3",2.8
"Total All Regional Councils","1986Q1",4.4
" ","1986Q2",4.1
" ","1986Q3",4.1
" ","1986Q4",4.1
" ","1987Q1",4.3
" ","1987Q2",4.2
" ","1987Q3",4.1
" ","1987Q4",4.3
" ","1988Q1",5.2
" ","1988Q2",5.5
" ","1988Q3",6.3
" ","1988Q4",6.2
" ","1989Q1",7.4
" ","1989Q2",7.4
" ","1989Q3",7.2
" ","1989Q4",7.1
" ","1990Q1",7.5
" ","1990Q2",7.6
" ","1990Q3",8.0
" ","1990Q4",8.8
" ","1991Q1",10.2
" ","1991Q2",10.3
" ","1991Q3",11.0
" ","1991Q4",10.9
" ","1992Q1",11.4
" ","1992Q2",10.3
" ","1992Q3",10.4
" ","1992Q4",10.5
" ","1993Q1",10.5
" ","1993Q2",10.0
" ","1993Q3",9.3
" ","1993Q4",9.4
" ","1994Q1",9.7
" ","1994Q2",8.4
" ","1994Q3",7.8
" ","1994Q4",7.5
" ","1995Q1",7.1
" ","1995Q2",6.3
" ","1995Q3",6.1
" ","1995Q4",6.3
" ","1996Q1",6.7
" ","1996Q2",6.1
" ","1996Q3",6.3
" ","1996Q4",6.1
" ","1997Q1",7.0
" ","1997Q2",6.7
" ","1997Q3",6.8
" ","1997Q4",6.8
" ","1998Q1",7.8
" ","1998Q2",7.8
" ","1998Q3",7.5
" ","1998Q4",7.8
" ","1999Q1",7.8
" ","1999Q2",7.3
" ","1999Q3",6.8
" ","1999Q4",6.2
" ","2000Q1",6.8
" ","2000Q2",6.3
" ","2000Q3",5.9
" ","2000Q4",5.6
" ","2001Q1",5.8
" ","2001Q2",5.4
" ","2001Q3",5.2
" ","2001Q4",5.4
" ","2002Q1",5.7
" ","2002Q2",5.2
" ","2002Q3",5.4
" ","2002Q4",4.9
" ","2003Q1",5.4
" ","2003Q2",4.7
" ","2003Q3",4.4
" ","2003Q4",4.6
" ","2004Q1",4.7
" ","2004Q2",4.1
" ","2004Q3",3.7
" ","2004Q4",3.6
" ","2005Q1",4.3
" ","2005Q2",3.7
" ","2005Q3",3.7
" ","2005Q4",3.6
" ","2006Q1",4.5
" ","2006Q2",3.6
" ","2006Q3",3.7
" ","2006Q4",3.6
" ","2007Q1",4.2
" ","2007Q2",3.5
" ","2007Q3",3.4
" ","2007Q4",3.2
" ","2008Q1",4.2
" ","2008Q2",3.7
" ","2008Q3",3.9
" ","2008Q4",4.3
" ","2009Q1",5.4
" ","2009Q2",5.6
" ","2009Q3",6.1
" ","2009Q4",6.4
" ","2010Q1",6.4
" ","2010Q2",6.4
" ","2010Q3",6.0
" ","2010Q4",6.1
" ","2011Q1",6.4
" ","2011Q2",5.9
" ","2011Q3",5.9
" ","2011Q4",5.9
" ","2012Q1",6.7
" ","2012Q2",6.2
" ","2012Q3",6.7
" ","2012Q4",6.3
" ","2013Q1",6.1
" ","2013Q2",5.9
" ","2013Q3",5.8
" ","2013Q4",5.6
" ","2014Q1",5.9
" ","2014Q2",5.1
" ","2014Q3",5.2
" ","2014Q4",5.5
" ","2015Q1",5.8
" ","2015Q2",5.4
" ","2015Q3",5.5
" ","2015Q4",4.9
" ","2016Q1",5.5
" ","2016Q2",4.9
" ","2016Q3",4.9
" ","2016Q4",5.2
" ","2017Q1",5.2
" ","2017Q2",4.7
" ","2017Q3",4.6
" ","2017Q4",4.4
" ","2018Q1",4.6
" ","2018Q2",4.4
" ","2018Q3",3.9
" ","2018Q4",4.4
" ","2019Q1",4.4
" ","2019Q2",3.9
" ","2019Q3",4.0
" ","2019Q4",4.1
" ","2020Q1",4.5
" ","2020Q2",3.9
" ","2020Q3",5.1
" ","2020Q4",4.9
" ","2021Q1",4.9
" ","2021Q2",3.9
" ","2021Q3",3.2
" ","2021Q4",3.2
" ","2022Q1",3.4
" ","2022Q2",3.2
" ","2022Q3",3.2
"Table information:"
"Units:"
"Unemployment Rate: Percent, Magnitude = Units"
""
"Footnotes:"
"On 1 November 2010, the new Auckland territorial authority (TA) replaced the existing: Rodney District, North Shore City, Auckland City, Waitakere City, Manukau City, Papakura District, and part of Franklin District councils."
"The changes were introduced in the release for the June 2011 quarter and backcast for the March 2011 quarter."
"This has resulted in minor changes in the boundary between the Auckland and Waikato regions. The new boundaries do not significantly affect measures from the Household Labour Force Survey (HLFS)."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"HLF051AA"
""
"Last updated:"
"Unemployment Rate: 02 November 2022 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
